Account Name:,Date & Time,Activity Details,Amount ($ / Meals)
Dining Dollars,"January 25, 2025,11:53AM",Sim - GibsonDining1,($9.50)
Dining Dollars,"January 24, 2025,9:54AM",Sim - SBX1,($2.65)
Dining Dollars,"January 24, 2025,8:22AM",Sim - GibsonDining1,($9.00)
Dining Dollars,"January 23, 2025,6:08PM",Sim - GibsonDining1,($1.00)
Dining Dollars,"January 23, 2025,10:53AM",Sim - SBX1,($2.65)
Dining Dollars,"January 23, 2025,7:38AM",Sim - GibsonDining1,($9.00)
Dining Dollars,"January 22, 2025,10:32AM",Sim - SBX1,($2.65)
Dining Dollars,"January 22, 2025,8:16AM",Sim - GibsonDining1,($9.00)
Dining Dollars,"January 21, 2025,6:11PM",Sim - GibsonDining1,($9.50)
Dining Dollars,"January 21, 2025,12:03PM",Sim - Gorillas3,($7.28)
Dining Dollars,"January 21, 2025,9:06AM",Sim - SBX1,($2.65)
